State,Age,Year,Total,Male,Female,European-American/White,African-American/Black,Hispanic/Latino,Other
Alabama,0-4,804,294357,149715,144642,164954,85741,26453,11406
Alabama,5-9,804,297968,152011,145957,170291,85236,25594,11291
Alabama,10-14,804,310498,158134,152364,180184,89867,24976,10770
Alabama,15-19,804,313615,159086,154529,185866,93559,19918,10485
Alabama,20-24,804,322092,161393,160699,193027,99024,15848,10981
Alabama,25-29,804,338138,168634,169504,204250,104953,15702,10483
Alabama,30-34,804,309091,151231,157860,191460,89612,16896,9170
Alabama,35-39,804,304145,147221,156924,190183,85025,17310,9848
Alabama,40-44,804,289161,139359,149802,185031,78570,15106,8905
Alabama,45-49,804,308951,149462,159489,206933,78688,12566,9296
Alabama,50-54,804,307665,149245,158420,211694,76870,9568,8197
Alabama,55-59,804,336320,161384,174936,235967,83328,7674,7869
Alabama,60-64,804,321347,151491,169856,228031,79353,5575,6956
Alabama,65-69,804,275448,127347,148101,201010,63971,3576,5699
Alabama,70-74,804,225999,103186,122813,174849,43502,2534,4192
Alabama,75-79,804,155814,68081,87733,124141,26744,1619,2642
Alabama,80-84,804,101033,41215,59818,80674,17343,1105,1514
Alabama,85+,804,91543,31322,60221,72283,16389,1258,1207
Alaska,0-4,348,51080,26153,24927,25009,1730,5675,15640
Alaska,5-9,348,51596,26401,25195,24833,1520,5516,16641
Alaska,10-14,348,49066,25403,23663,23984,1393,4381,16266
Alaska,15-19,348,45110,23594,21516,22082,1488,3837,15164
Alaska,20-24,348,51283,29380,21903,26669,2595,5278,14720
Alaska,25-29,348,60427,32458,27969,33850,2599,5341,16579
Alaska,30-34,348,57161,30047,27114,33820,2099,4853,14612
Alaska,35-39,348,52421,27318,25103,32427,1956,4151,12392
Alaska,40-44,348,43344,22647,20697,27158,1478,3150,10415
Alaska,45-49,348,42303,22090,20213,27415,1401,2625,9916
Alaska,50-54,348,42827,22408,20419,28321,1326,2310,10092
Alaska,55-59,348,48222,25142,23080,33418,1433,2023,10579
Alaska,60-64,348,45117,22928,22189,32713,1203,1542,8959
Alaska,65-69,348,36261,18630,17631,26933,914,1053,6857
Alaska,70-74,348,25039,12877,12162,18864,474,684,4715
Alaska,75-79,348,15078,7521,7557,11445,257,364,2847
Alaska,80-84,348,8029,3680,4349,5859,185,219,1685
Alaska,85+,348,7181,2741,4440,5278,139,210,1439
Arizona,0-4,180,429788,219514,210274,161588,21258,196263,41595
Arizona,5-9,180,453692,231321,222371,174153,23428,198987,47437
Arizona,10-14,180,477053,243003,234050,185308,23336,212102,47539
Arizona,15-19,180,478065,244571,233494,194177,23132,206727,46188
Arizona,20-24,180,495482,256544,238938,207415,25647,204496,50452
Arizona,25-29,180,525879,273506,252373,234284,29973,200091,54791
Arizona,30-34,180,481214,249307,231907,228276,26922,170484,50791
Arizona,35-39,180,466981,238274,228707,228688,24393,162997,46646
Arizona,40-44,180,429046,215707,213339,213089,21560,149169,41606
Arizona,45-49,180,433343,215623,217720,233889,20534,136492,39413
Arizona,50-54,180,418747,206821,211926,244989,18803,118384,34052
Arizona,55-59,180,446731,216401,230330,290862,18472,102421,32482
Arizona,60-64,180,434063,204344,229719,305704,16110,82074,28062
Arizona,65-69,180,398499,184643,213856,299376,12319,61674,23330
Arizona,70-74,180,353200,165978,187222,281362,8557,44956,17056
Arizona,75-79,180,252667,117487,135180,206435,5396,29007,10970
Arizona,80-84,180,158530,73649,84881,129344,3236,18324,7162
Arizona,85+,180,145737,60604,85133,120751,2701,15942,5936
Arkansas,0-4,900,188464,96655,91809,115892,33916,24333,10058
Arkansas,5-9,900,192747,98863,93884,120562,33963,24712,9474
Arkansas,10-14,900,200466,102418,98048,126431,35326,25773,9314
Arkansas,15-19,900,197251,101079,96172,128082,35297,22497,8504
Arkansas,20-24,900,200287,101749,98538,131364,37301,20074,8955
Arkansas,25-29,900,205499,103759,101740,137673,37462,18760,9566
Arkansas,30-34,900,191369,95549,95820,132079,31728,17247,8706
Arkansas,35-39,900,192156,95917,96239,134041,30894,17614,8329
Arkansas,40-44,900,178107,88297,89810,126263,27952,15952,6789
Arkansas,45-49,900,182264,89510,92754,135059,26228,13945,6075
Arkansas,50-54,900,179318,88464,90854,135822,25828,11299,5421
Arkansas,55-59,900,198021,96194,101827,155207,28114,8411,5268
Arkansas,60-64,900,187973,89624,98349,149171,26744,6190,4821
Arkansas,65-69,900,164960,77149,87811,134615,21687,3906,3894
Arkansas,70-74,900,137869,63926,73943,117872,13808,2570,2896
Arkansas,75-79,900,98087,43981,54106,86048,8277,1455,1727
Arkansas,80-84,900,63054,26924,36130,55483,5177,960,1058
Arkansas,85+,900,59912,21558,38354,52184,5507,933,970
California,0-4,696,2383716,1220085,1163631,629854,118543,1217205,354908
California,5-9,696,2478850,1266874,1211976,626535,126194,1299761,364501
California,10-14,696,2529137,1292852,1236285,629172,127411,1339500,375751
California,15-19,696,2533694,1292178,1241516,674824,134268,1286271,385618
California,20-24,696,2647279,1359751,1287528,748520,155274,1283092,410927
California,25-29,696,3094978,1600681,1494297,957939,197677,1348684,543121
California,30-34,696,2957974,1525571,1432403,991327,177066,1191076,558864
California,35-39,696,2780574,1416586,1363988,938870,152447,1132150,522620
California,40-44,696,2501526,1255993,1245533,827913,137195,1035898,473283
California,45-49,696,2515419,1252341,1263078,884178,140641,987855,477835
California,50-54,696,2464326,1228030,1236296,973928,149879,888027,430173
California,55-59,696,2508777,1232488,1276289,1139962,159966,761324,425588
California,60-64,696,2277858,1099031,1178827,1125556,140051,601314,392300
California,65-69,696,1889872,887346,1002526,1001307,105586,433421,335668
California,70-74,696,1496798,689389,807409,852423,76233,302109,255734
California,75-79,696,1017681,453052,564629,589730,52737,198172,170316
California,80-84,696,683918,292317,391601,389400,36364,133885,120018
California,85+,696,749846,280289,469557,442310,33831,135136,133372
Colorado,0-4,768,332201,169135,163066,184755,14737,104299,20688
Colorado,5-9,768,346783,177399,169384,193918,15615,108111,21337
Colorado,10-14,768,363539,186072,177467,202305,15644,116397,21619
Colorado,15-19,768,365448,188223,177225,209027,15293,111776,22451
Colorado,20-24,768,377765,198011,179754,225094,17362,104048,24508
Colorado,25-29,768,461160,241879,219281,296114,22846,107617,28495
Colorado,30-34,768,452194,236587,215607,299655,20438,99466,27968
Colorado,35-39,768,425517,219924,205593,282822,18096,95674,24687
Colorado,40-44,768,372554,190873,181681,247934,15419,84950,20948
Colorado,45-49,768,365235,187290,177945,251283,15325,75502,20278
Colorado,50-54,768,340915,171232,169683,245856,13887,62492,16486
Colorado,55-59,768,364977,178883,186094,279180,13798,54756,15150
Colorado,60-64,768,348036,169065,178971,278061,12185,43433,12601
Colorado,65-69,768,296296,141759,154537,243483,8866,32359,10269
Colorado,70-74,768,225835,107827,118008,188828,5647,23122,7331
Colorado,75-79,768,141798,65343,76455,118428,3710,14711,4486
Colorado,80-84,768,88562,38497,50065,73039,2500,9788,2928
Colorado,85+,768,89921,33349,56572,76321,2155,8403,2759
Connecticut,0-4,96,181710,93028,88682,93972,20799,49551,13733
Connecticut,5-9,96,194738,99449,95289,101930,22985,50882,14979
Connecticut,10-14,96,214262,108848,105414,116231,24516,53650,15693
Connecticut,15-19,96,238872,121596,117276,141243,26401,50800,16549
Connecticut,20-24,96,239931,123103,116828,142877,28440,49067,16314
Connecticut,25-29,96,225457,116859,108598,125842,30755,48394,18063
Connecticut,30-34,96,222572,111988,110584,128382,27363,46360,18631
Connecticut,35-39,96,219855,108595,111260,128613,25198,46656,17741
Connecticut,40-44,96,207286,101260,106026,122692,24077,43701,15370
Connecticut,45-49,96,225494,109195,116299,146209,24724,38190,15029
Connecticut,50-54,96,251411,121619,129792,178236,25647,33912,12464
Connecticut,55-59,96,267967,129472,138495,203099,24736,28348,10669
Connecticut,60-64,96,245488,118403,127085,194692,20369,20923,8583
Connecticut,65-69,96,195083,92056,103027,158674,14503,14536,6748
Connecticut,70-74,96,157736,72164,85572,130300,11043,10768,5152
Connecticut,75-79,96,112284,49799,62485,93989,7723,6828,3443
Connecticut,80-84,96,73811,30609,43202,62340,4967,4399,1920
Connecticut,85+,96,91330,31374,59956,80802,4588,3990,1734
Delaware,0-4,36,54719,27536,27183,26144,13368,9685,4073
Delaware,5-9,36,56312,28682,27630,27016,14457,9179,4124
Delaware,10-14,36,57663,29049,28614,27776,14889,9589,3803
Delaware,15-19,36,60218,30426,29792,31124,15631,8442,3597
Delaware,20-24,36,57154,28976,28178,29702,15909,6972,3499
Delaware,25-29,36,65311,33022,32289,36108,16854,6939,4542
Delaware,30-34,36,63769,31721,32048,37101,14329,6927,4754
Delaware,35-39,36,59374,29316,30058,33384,13590,7358,4486
Delaware,40-44,36,53727,26045,27682,30394,12652,6605,3586
Delaware,45-49,36,56685,27246,29439,34064,13480,5642,3080
Delaware,50-54,36,62196,29625,32571,39832,14378,4728,2855
Delaware,55-59,36,69315,32798,36517,47998,14772,3466,2708
Delaware,60-64,36,68415,31800,36615,50136,12811,2728,2422
Delaware,65-69,36,61422,28232,33190,47345,9899,1957,1983
Delaware,70-74,36,51436,23780,27656,40797,7459,1348,1656
Delaware,75-79,36,34652,15640,19012,27788,4859,790,1092
Delaware,80-84,36,21142,9301,11841,17044,2822,470,747
Delaware,85+,36,20254,7598,12656,16596,2499,566,536
District of Columbia,0-4,12,45368,23092,22276,14126,19791,7815,2559
District of Columbia,5-9,12,38177,19507,18670,8143,20549,6923,1772
District of Columbia,10-14,12,29221,14614,14607,5423,17415,4763,1120
District of Columbia,15-19,12,36571,17400,19171,11315,18078,4644,1938
District of Columbia,20-24,12,51397,22967,28430,20494,21109,5191,3799
District of Columbia,25-29,12,82514,38036,44478,38741,28760,8234,5694
District of Columbia,30-34,12,82027,39281,42746,41500,24591,8817,6061
District of Columbia,35-39,12,63808,31056,32752,29890,20950,7717,4524
District of Columbia,40-44,12,45161,22366,22795,18302,17294,5902,3193
District of Columbia,45-49,12,38462,19288,19174,13721,17246,4830,2321
District of Columbia,50-54,12,35824,17846,17978,12136,17989,3785,1608
District of Columbia,55-59,12,36628,18062,18566,10992,20759,3312,1270
District of Columbia,60-64,12,33248,15458,17790,9599,19599,2675,1145
District of Columbia,65-69,12,28255,12251,16004,9082,16130,1821,991
District of Columbia,70-74,12,21964,9382,12582,8120,11778,1273,635
District of Columbia,75-79,12,15010,6121,8889,5607,8072,776,469
District of Columbia,80-84,12,9872,3880,5992,3105,5928,521,269
District of Columbia,85+,12,12242,4104,8138,4104,7252,478,339
Florida,0-4,804,1139742,582738,557004,464205,224875,374382,53022
Florida,5-9,804,1166350,596090,570260,472545,236219,377465,57086
Florida,10-14,804,1206047,614949,591098,502435,240309,383010,59139
Florida,15-19,804,1202436,614664,587772,515983,237278,375383,56165
Florida,20-24,804,1258122,642134,615988,554147,249611,379357,59027
Florida,25-29,804,1419816,724144,695672,651589,283461,406057,64697
Florida,30-34,804,1379606,699679,679927,636209,248345,420908,63278
Florida,35-39,804,1336741,666425,670316,606020,230281,428576,62346
Florida,40-44,804,1263790,624191,639599,566039,206619,423731,59039
Florida,45-49,804,1340417,658894,681523,655459,205172,412705,59257
Florida,50-54,804,1368978,669084,699894,735452,197820,375905,52896
Florida,55-59,804,1489510,715912,773598,887790,201159,343268,50246
Florida,60-64,804,1408845,659081,749764,913161,179807,264312,45415
Florida,65-69,804,1295884,595312,700572,893835,141043,215652,40514
Florida,70-74,804,1169485,541247,628238,861225,102368,170680,31526
Florida,75-79,804,870367,398693,471674,651961,66843,128915,20276
Florida,80-84,804,580147,259548,320599,428183,44147,93967,12452
Florida,85+,804,581454,234271,347183,440447,39906,89587,10042
Georgia,0-4,1908,656566,334896,321670,280282,218702,102722,41013
Georgia,5-9,1908,685587,348924,336663,291964,229105,106206,44132
Georgia,10-14,1908,727416,370338,357078,315745,246799,108158,43799
Georgia,15-19,1908,732120,371833,360287,333469,250226,95851,42194
Georgia,20-24,1908,717380,364423,352957,335163,250710,82180,40415
Georgia,25-29,1908,771584,386644,384940,360218,279615,78115,45742
Georgia,30-34,1908,721677,354987,366690,347318,243480,77886,46649
Georgia,35-39,1908,709018,342876,366142,338861,233830,83425,47452
Georgia,40-44,1908,671936,322933,349003,326581,218082,78982,43634
Georgia,45-49,1908,712696,344386,368310,373675,223030,68879,42812
Georgia,50-54,1908,686956,334205,352751,381837,213311,54228,34231
Georgia,55-59,1908,691407,332248,359159,408383,210348,39289,30199
Georgia,60-64,1908,616126,290080,326046,380368,179676,27735,25731
Georgia,65-69,1908,511367,233277,278090,331008,140379,17622,20233
Georgia,70-74,1908,414634,187674,226960,288756,98147,11577,14540
Georgia,75-79,1908,273561,120360,153201,197453,58572,7133,9356
Georgia,80-84,1908,166323,68648,97675,121050,34781,4350,5504
Georgia,85+,1908,151069,51692,99377,111227,30656,4386,4138
Hawaii,0-4,60,85219,43782,41437,14200,2022,17119,38705
Hawaii,5-9,60,86710,44660,42050,13386,1620,18744,40495
Hawaii,10-14,60,80876,41389,39487,10324,1310,12760,44326
Hawaii,15-19,60,77287,39985,37302,10239,1259,11286,43325
Hawaii,20-24,60,88650,48667,39983,20184,3259,13105,42153
Hawaii,25-29,60,101864,53750,48114,22708,3849,13716,51259
Hawaii,30-34,60,98131,50374,47757,22849,3036,11990,51150
Hawaii,35-39,60,96871,49150,47721,22387,2585,11501,51393
Hawaii,40-44,60,84932,42941,41991,17945,1822,8797,48642
Hawaii,45-49,60,84135,42385,41750,16985,1586,7223,51113
Hawaii,50-54,60,83612,41444,42168,17681,1382,5965,51693
Hawaii,55-59,60,89958,44458,45500,21489,1242,5664,54668
Hawaii,60-64,60,89179,43442,45737,23852,981,4585,53754
Hawaii,65-69,60,83038,40057,42981,24808,714,3394,49105
Hawaii,70-74,60,69054,33121,35933,21285,557,2302,41064
Hawaii,75-79,60,45499,21119,24380,12389,247,1445,28765
Hawaii,80-84,60,29189,12326,16863,6770,159,750,19942
Hawaii,85+,60,41668,14990,26678,7141,150,518,32105
Idaho,0-4,528,116200,59300,56900,85432,1141,21908,5420
Idaho,5-9,528,123317,62782,60535,91372,1214,23163,5338
Idaho,10-14,528,131471,67341,64130,98788,1158,24369,5100
Idaho,15-19,528,125185,63779,61406,94905,1245,21785,5481
Idaho,20-24,528,116434,61044,55390,87965,1349,20216,5265
Idaho,25-29,528,121631,62849,58782,93511,1451,19655,5568
Idaho,30-34,528,114859,57868,56991,90141,1081,17250,5343
Idaho,35-39,528,118233,59717,58516,94875,1138,16627,4606
Idaho,40-44,528,108939,55203,53736,88951,722,14222,4201
Idaho,45-49,528,102792,52115,50677,85034,712,12365,3959
Idaho,50-54,528,98974,49687,49287,83772,608,10550,3405
Idaho,55-59,528,109541,53672,55869,95926,549,8949,3520
Idaho,60-64,528,108819,52697,56122,97910,539,6603,3195
Idaho,65-69,528,97884,47661,50223,89646,328,4752,2641
Idaho,70-74,528,77982,38329,39653,72446,178,3084,1924
Idaho,75-79,528,52941,25118,27823,49444,90,1991,1209
Idaho,80-84,528,32089,14969,17120,30224,47,1052,636
Idaho,85+,528,29774,11797,17977,27935,34,949,702
Illinois,0-4,1224,746934,381715,365219,384272,115685,179121,53744
Illinois,5-9,1224,769727,393876,375851,391740,117391,190548,56624
Illinois,10-14,1224,806018,410485,395533,406487,119765,209372,56844
Illinois,15-19,1224,822630,420425,402205,430102,124442,200564,55971
Illinois,20-24,1224,829977,421027,408950,442062,133084,182120,62687
Illinois,25-29,1224,897230,454918,442312,489905,152695,174783,71463
Illinois,30-34,1224,860866,435387,425479,493557,124122,163440,73285
Illinois,35-39,1224,849955,425765,424190,492501,113879,167715,70616
Illinois,40-44,1224,787180,393065,394115,453667,105121,161407,62603
Illinois,45-49,1224,799928,395740,404188,476748,111862,148225,59245
Illinois,50-54,1224,799861,394875,404986,519451,107928,120803,48331
Illinois,55-59,1224,854601,417537,437064,595134,114754,98116,43617
Illinois,60-64,1224,803682,386647,417035,577679,105248,77325,40743
Illinois,65-69,1224,662179,312178,350001,487490,81962,54826,35840
Illinois,70-74,1224,513854,235634,278220,386956,59592,37703,28103
Illinois,75-79,1224,359028,157008,202020,274382,41491,23400,18759
Illinois,80-84,1224,241202,99256,141946,186123,27726,15264,11395
Illinois,85+,1224,266969,91020,175949,214395,26696,15150,9888
Indiana,0-4,1104,418340,214657,203683,293147,47951,46893,21142
Indiana,5-9,1104,431942,221228,210714,302881,48891,49066,21848
Indiana,10-14,1104,447039,228329,218710,312959,50026,54018,20959
Indiana,15-19,1104,457749,234783,222966,329392,49191,48519,22979
Indiana,20-24,1104,472649,241840,230809,344710,50592,41560,29222
Indiana,25-29,1104,464458,235643,228815,344273,55811,36910,22355
Indiana,30-34,1104,426229,213793,212436,322823,47155,34016,18781
